1,min,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749,297.760543749
2,max,297.760543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749,295.960543749
3,covariance,297.760543749,295.960543749,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772,925.175936772
4,durbinWatson,297.760543749,295.960543749,925.175936772,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977,683.557350977
5,lag1,297.760543749,295.960543749,925.175936772,683.557350977,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641,1301.33279641
6,meanDeviation,297.760543749,295.960543749,925.175936772,683.557350977,1301.33279641,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704,323.269992704
7,product,297.760543749,295.960543749,925.175936772,683.557350977,1301.33279641,323.269992704,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133,163.24913133
8,weightedMean,297.760543749,295.960543749,925.175936772,683.557350977,1301.33279641,323.269992704,163.24913133,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704,363.575092704
9,autoCorrelation,297.760543749,295.960543749,925.175936772,683.557350977,1301.33279641,323.269992704,163.24913133,363.575092704,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616,640.262770616
10,binarySearchFromTo,297.760543749,295.960543749,925.175936772,683.557350977,1301.33279641,323.269992704,163.24913133,363.575092704,640.262770616,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389,668.413531389
