1,min,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301,210.767309301
2,max,210.767309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301,209.367309301
3,covariance,210.767309301,209.367309301,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174,811.215748174
4,durbinWatson,210.767309301,209.367309301,811.215748174,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047,591.775561047
5,lag1,210.767309301,209.367309301,811.215748174,591.775561047,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691,1149.01276691
6,meanDeviation,210.767309301,209.367309301,811.215748174,591.775561047,1149.01276691,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954,261.317503954
7,product,210.767309301,209.367309301,811.215748174,591.775561047,1149.01276691,261.317503954,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161,123.834001161
8,weightedMean,210.767309301,209.367309301,811.215748174,591.775561047,1149.01276691,261.317503954,123.834001161,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954,298.780603954
9,autoCorrelation,210.767309301,209.367309301,811.215748174,591.775561047,1149.01276691,261.317503954,123.834001161,298.780603954,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406,545.684888406
10,binarySearchFromTo,210.767309301,209.367309301,811.215748174,591.775561047,1149.01276691,261.317503954,123.834001161,298.780603954,545.684888406,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857,465.252182857
