1,min,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401,175.863900401
2,max,175.863900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401,175.263900401
3,covariance,175.863900401,175.263900401,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993,747.50352993
4,durbinWatson,175.863900401,175.263900401,747.50352993,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447,542.204222447
5,lag1,175.863900401,175.263900401,747.50352993,542.204222447,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932,1053.50019932
6,meanDeviation,175.863900401,175.263900401,747.50352993,542.204222447,1053.50019932,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162,231.482140162
7,product,175.863900401,175.263900401,747.50352993,542.204222447,1053.50019932,231.482140162,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577,104.324476577
8,weightedMean,175.863900401,175.263900401,747.50352993,542.204222447,1053.50019932,231.482140162,104.324476577,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162,264.797240162
9,autoCorrelation,175.863900401,175.263900401,747.50352993,542.204222447,1053.50019932,231.482140162,104.324476577,264.797240162,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338,496.641724338
10,binarySearchFromTo,175.863900401,175.263900401,747.50352993,542.204222447,1053.50019932,231.482140162,104.324476577,264.797240162,496.641724338,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853,377.876623853
