sum,123.800076595,221.04,221.88,188.69,253.62,298.94,165.8,209.6,143.72,177.24,110.81,232.44,177.876,133.24,122.24,266.599999846,243.676,299.116,166.14,143.6,132.8,122.24,143.2,121.6,275.6,155.24,121.8,111.528,187.6,143.4,122.24,144.24,298.44,155.24,232.76,143.44,155.24,243.2,232.0,121.9,143.2,121.8,198.8,333.028,198.8,198.7,231.6,132.64,177.04,121.8,177.41,254.986,121.8,198.6,176.3,166.24,199.48,198.8,144.45,166.512,155.04,155.24
find_euc_dist,221.04,405.89239552,401.58,342.925024,461.1,544.42928,301.24,382.1856,261.8256,323.251404032,200.54,422.97312,322.468,242.1851008,221.935104,482.42,442.78,542.68,303.64936192,261.7856,242.0256,221.935104,260.6,221.3856,503.607424,283.127404032,221.1856,201.935104,341.3856,260.44,221.935104,262.63702016,543.477404032,282.190104,423.425024,261.0,282.185024,443.9344,422.1856,222.27712,260.6,221.1856,362.23712,605.34032,362.15712,362.27712,420.72,240.8,323.637317632,221.6256,321.74,463.28,221.8256,362.282272,322.428,302.9851008,363.387000832,362.23712,262.73702016,302.269088,282.877420032,283.127404032
find_max2,221.88,401.58,409.890899866,343.4476,461.962,542.26,300.4,381.04,261.67,321.28,200.81,421.48,321.1,241.28,221.28,482.18,440.7,542.78,301.912,261.04,241.04,221.28,261.64,221.04,501.44,281.48,222.24,202.368,341.04,260.4,221.28,261.48,541.88,281.08,423.8831,261.684,281.08,442.63712,421.64,221.872,261.2,222.72,361.84,603.348,362.528,361.872,424.7456,242.204,321.28,221.04,321.43,462.7844,221.04,361.24,320.7,301.28,361.28,361.44,262.11,301.492,281.24,281.48
weighted_average,188.69,342.925024,343.4476,294.081998797,393.17528,463.5203008,256.34,324.128,222.6856,274.925024,171.29,360.946619392,275.02752,206.47312,189.22512,410.93,376.34,462.3564,257.8274048,222.3856,205.6256,189.22512,221.3,188.1856,426.83712,240.725024,188.4856,172.58504,290.1856,221.3,189.22512,223.725024,461.925024,240.42512,362.960015347,221.974,240.42512,376.9344,358.9856,188.987424,221.3,188.4856,307.83712,515.958224,307.962272,307.987424,358.2,205.374,274.725024,188.6256,274.986,394.518,188.6256,307.63712,273.2,257.67312,308.925024,307.83712,224.43548096,257.5528,240.375104,240.725024
quantile,253.62,461.1,461.962,393.17528,536.447499674,622.4,345.94,437.8,300.14,368.7,231.28,484.2,369.6,276.6,253.4,554.12,508.14,623.66,346.1,299.65,276.3,253.4,299.84,253.3,575.54,322.6,253.2,230.62,391.5,299.7,253.4,299.6,622.1,322.5,486.332,300.419,322.6,506.7,483.74,253.7,299.84,253.2,414.54,692.32,414.84,415.14,484.55,276.931,368.7,253.4,370.12,531.92,253.3,414.65,369.688,346.0,414.7,414.54,300.48,346.18,322.4,322.6
entropy,298.94,544.42928,542.26,463.5203008,622.4,740.990834995,406.761,516.4112,353.9712,435.86032,271.24,572.0452608,435.1256,327.66032,301.10992,652.32,596.38,733.2,409.42928,353.9712,327.22272,300.66032,351.0,300.473024,677.9712,381.88132,299.7712,273.66032,461.9712,352.588,300.77032,355.10992,733.26032,381.86032,571.9702208,351.5,382.62519977,599.664,571.2112,299.7712,351.0,299.7712,490.2112,818.818624,488.9712,488.9712,568.24,325.3,436.78112,299.5712,434.748,623.54,299.7712,488.9712,432.94,408.77032,490.60004,490.2112,355.11024,409.46784,381.26112,381.88132
meanDeviation,165.8,301.24,300.4,256.34,345.94,406.761,228.762399539,285.2,195.64,241.68,151.8115008,316.64,241.898,180.84,165.64,363.564704,332.68752,407.42,225.64,195.74,180.4,165.64,196.088,165.4,376.72,211.5776,165.4,150.64,255.2,195.888,165.88,195.84,406.92,211.38,316.44,196.08,211.28,330.6,317.12,165.2,196.288,165.2,271.08,453.18,270.64,270.64,315.84,180.8,241.28,165.4,242.87312,346.888,165.6,270.74,241.828,226.48,272.2176,271.48,195.94,226.04,211.28,211.5776
insertion_sort,209.6,382.1856,381.04,324.128,437.8,516.4112,285.2,367.24841984,248.8352,305.128,190.2,400.128,304.6,229.3856,210.3856,456.6,418.6,513.4,286.7856,248.8352,230.08512,210.3856,247.4,211.0752,476.6352,267.3856,210.3856,191.3856,324.8352,247.84,210.3856,248.3856,514.5856,267.128,400.128,247.4,267.768,421.456,401.6752,210.88512,247.4,210.3856,344.4752,572.456,343.8352,343.8352,400.68,228.8,305.7856,210.43552,304.2,437.8,210.88512,343.8352,304.4,286.3856,343.3856,344.4752,248.3856,286.3856,267.3856,267.3856
scale,143.72,261.8256,261.67,222.6856,300.14,353.9712,195.64,248.8352,172.259999642,209.3856,130.6,274.3856,209.2,157.6432,144.4432,312.92,287.24,352.488,196.8736,171.69469952,158.0944,144.4432,169.3,145.6446976,327.1344,183.6432,144.79344,131.56896,223.194688,170.088,144.4432,170.6432,352.9432,183.1856,274.9856,169.54,183.5856,288.9232,276.49469952,145.194688,169.3,144.79344,237.33469952,392.49696,236.622272,236.884928,274.32,156.94,209.5856,144.6432,208.84,300.24,144.8944,236.38464,208.64,196.8432,235.3856,237.33469952,170.8432,196.43712,183.6432,183.6432
meanDifference,177.24,323.251404032,321.28,274.925024,368.7,435.86032,241.68,305.128,209.3856,260.012475699,160.74,338.97312,258.268,194.1851008,177.935104,386.752,354.672,434.93,242.1870208,209.4856,193.6256,177.935104,208.2,177.1856,402.327424,226.687404032,177.1856,161.935104,273.1856,208.2,177.935104,210.43702016,435.012402432,227.18474048,339.225024,208.6,226.947064832,354.7344,337.9856,177.63712,208.2,177.1856,289.83712,486.3656064,289.63712,289.63712,336.2,192.8,258.687404032,177.6256,257.94,370.332,177.6256,289.762272,257.4764,242.5851008,291.375404032,289.83712,210.53702016,242.250304,226.437420032,226.687404032
product,110.81,200.54,200.81,171.29,231.28,271.24,151.8115008,190.2,130.6,160.74,102.510012518,211.04,161.188,120.54,110.54,242.65912,221.2376,271.25,150.74,130.4,120.2,110.54,131.236,110.4,250.4,140.54,110.52,100.65,170.2,131.008,110.54,130.54,270.98,140.74,211.82,130.8764,140.74,220.4,211.48,110.4,131.456,110.3,180.84,302.15,180.5,180.6,211.04,120.41,160.54,110.2,162.53952,231.828,110.2,180.4,161.208,150.54,180.74,181.24,130.98,151.08,140.44,140.54
errorRate,232.44,422.97312,421.48,360.946619392,484.2,572.0452608,316.64,400.128,274.3856,338.97312,211.04,448.69000192,339.20752,254.57312,234.21504,506.9,464.36,570.2,317.52512,274.3856,253.6256,233.32512,273.6,232.1856,526.7856,296.77312,232.1856,212.32512,358.1856,273.4,233.32512,276.66304,570.57312,296.52512,445.371771392,273.6,296.52512,464.832,443.4848,232.5856,273.2,232.1856,380.0352,635.723264,379.5856,379.5856,441.2,253.0,338.77312,232.6256,338.948,485.46,232.6256,379.5856,337.22,317.77312,380.97312,380.0352,275.99808,317.10032,296.32352,296.77312
