sum,125.84378038,221.59,222.88,189.6025,253.945,299.94,166.2,209.9,144.095,177.89,111.2225,233.19,178.964,133.89,122.89,268.221413387,244.664,300.354,166.74,143.9,133.2,122.89,143.3,121.9,275.9,155.89,122.2,112.397,187.9,143.6,122.89,144.89,299.19,155.89,233.685,143.69,155.89,243.8,232.5,122.35,143.3,122.2,199.2,334.647,199.2,199.05,231.9,132.99,177.59,122.2,178.1225,256.1365,122.2,198.9,176.45,166.89,200.28,199.2,145.2125,167.35425,155.59,155.89
find_euc_dist,221.59,410.004861961,402.43,344.797519,461.65,547.36872,301.89,383.4491,262.9391,325.427762003,200.84,424.80873,323.837,243.6584667,223.229989,483.72,444.23,544.08,306.16419342,262.8491,243.2391,223.229989,260.9,222.2491,505.785419,285.219262003,221.9491,203.229989,342.2491,260.69,223.229989,264.39754001,545.744262003,283.616239,425.547519,261.5,283.657519,446.2244,423.4491,223.67473,260.9,221.9491,363.58473,608.59593,363.47973,363.67473,421.095,241.2,326.113747403,222.6391,322.64,464.98,222.9391,363.6950745,323.747,304.8584667,365.682839703,363.58473,264.54754001,303.776748,284.791003003,285.219262003
find_max2,222.88,402.43,416.212663223,345.3796,462.99175,543.51,300.6,381.59,262.5575,321.98,201.2225,422.28,321.65,241.98,221.98,483.33,441.05,544.23,302.95425,261.59,241.59,221.98,262.49,221.59,502.19,282.28,223.39,203.687,341.59,260.6,221.98,262.28,542.88,281.68,425.96563125,262.5935,281.68,444.18473,422.49,222.86425,261.8,224.17,362.79,605.217,363.897,362.86425,427.4091,243.3885,321.98,221.59,322.1675,464.245525,221.59,361.89,321.05,301.98,361.98,362.19,263.2475,302.30925,281.89,282.28
weighted_average,189.6025,344.797519,345.3796,297.580777567,394.4139325,466.3826667,257.04,324.797,223.6991,276.797519,172.0025,363.489746313,276.74963,208.05873,190.64173,412.4925,377.54,464.159775,259.6621557,223.2491,206.6391,190.64173,221.45,188.9491,427.98473,242.497519,189.3991,174.24176,290.9491,221.45,190.64173,225.497519,463.797519,241.94173,366.81981201,222.521,241.94173,378.7244,360.1491,190.265419,221.45,189.3991,308.98473,519.651219,309.2000745,309.265419,358.8,206.121,276.497519,189.6391,276.6365,396.4495,189.6391,308.68473,273.8,259.35873,310.797519,308.98473,226.68114671,259.1510625,241.919989,242.497519
quantile,253.945,461.65,462.99175,394.4139325,541.433437574,623.1,346.44,438.2,300.74,369.05,231.98,484.8,370.4,276.9,253.6,555.195,509.24,625.035,346.65,300.0125,276.45,253.6,300.29,253.45,575.84,322.9,253.3,230.945,391.75,300.05,253.6,299.9,622.65,322.75,488.1855,301.227875,322.9,507.05,484.14,254.05,300.29,253.3,414.84,693.495,415.29,415.74,485.3625,277.420875,369.05,253.6,371.27,533.47,253.45,415.0125,370.607,346.5,415.05,414.84,301.28,346.83,322.6,322.9
entropy,299.94,547.36872,543.51,466.3826667,623.1,749.387103243,407.688375,518.4882,355.7982,438.31593,271.89,575.1964317,436.8891,330.01593,303.74103,654.57,597.63,735.375,412.36872,355.7982,329.23383,303.01593,351.0,302.664519,679.7982,384.364305,301.4982,276.01593,463.7982,353.457,303.18843,357.74103,735.91593,384.31593,575.1101967,351.75,385.671320081,602.916,573.6882,301.4982,351.0,301.4982,492.6882,824.377119,490.7982,490.7982,568.89,325.95,439.95678,301.1982,436.242,624.84,301.4982,490.7982,433.44,411.18843,493.587135,492.6882,357.74346,412.34556,383.31573,384.364305
meanDeviation,166.2,301.89,300.6,257.04,346.44,407.688375,231.482140162,285.3,195.99,242.58,153.0248667,317.49,242.9295,181.29,165.99,365.785089,334.20963,408.72,225.99,196.14,180.6,165.99,196.707,165.6,377.67,212.5221,165.6,150.99,255.3,196.407,166.38,196.29,407.97,212.13,317.19,196.68,211.98,330.9,318.27,165.3,197.007,165.3,271.68,454.83,270.99,270.99,316.29,181.2,241.98,165.6,244.65873,347.907,165.9,271.14,242.847,227.28,273.5121,272.28,196.44,226.59,211.98,212.5221
insertion_sort,209.9,383.4491,381.59,324.797,438.2,518.4882,285.3,371.798367749,249.9742,305.797,190.3,400.797,304.9,230.2491,211.2491,456.9,418.9,513.6,287.8491,249.9742,231.40173,211.2491,247.6,212.3642,477.6742,268.2491,211.2491,192.2491,325.9742,248.29,211.2491,249.2491,515.5491,267.797,400.797,247.6,268.787,423.394,403.2642,212.10173,247.6,211.2491,345.9642,573.894,344.9742,344.9742,401.58,229.2,306.8491,211.37663,304.3,438.2,212.10173,344.9742,304.6,287.2491,344.2491,345.9642,249.2491,287.2491,268.2491,268.2491
scale,144.095,262.9391,262.5575,223.6991,300.74,355.7982,195.99,249.9742,174.609964571,210.2491,130.9,275.2491,209.8,158.7012,145.4012,313.395,287.89,353.307,198.0561,173.55065332,159.4344,145.4012,169.45,147.4220444,328.5244,184.7012,145.98116,132.619015,224.693348,170.707,145.4012,171.7012,354.1512,183.9491,276.1491,169.84,184.5491,290.6812,278.75065332,146.693348,169.45,145.98116,239.54065332,394.116015,238.351587,238.813308,274.995,157.44,210.5491,145.7012,209.29,300.89,146.1344,237.95436,208.99,198.0012,236.2491,239.54065332,172.0012,197.38473,184.7012,184.7012
meanDifference,177.89,325.427762003,321.98,276.797519,369.05,438.31593,242.58,305.797,210.2491,262.911631172,161.14,340.80873,259.537,195.6584667,179.229989,388.24425,356.06425,436.4925,243.6689967,210.3991,194.6391,179.229989,208.3,177.9491,403.805419,228.529262003,177.9491,163.229989,273.9491,208.3,179.229989,212.09754001,437.043500853,229.391378356,341.247519,208.9,228.993568703,356.4244,339.1491,178.68473,208.3,177.9491,290.98473,490.5323391,290.68473,290.68473,336.3,193.2,260.529262003,178.6391,258.94,371.52425,178.6391,290.9000745,258.279775,244.2584667,293.636262003,290.98473,212.24754001,243.707439,228.101003003,228.529262003
